# gname               ra          dec         era       edec      l         b          el                      eb                      Speak   eSpeak   Sint   eSint   RMS       SNR   Yf     Reff   Npix   Simb_class       GD_name           
  G006.4565+00.9269   269.1912    -22.91352   3.62E-5   3.62E-5   6.45647   0.92689    3.54192380423478E-5     3.4575068754904134E-5   0.0     0.0      0.0    0.0     1.12E-4   5.5   0.95   0.6    16     none             NULL              
  G006.4632+00.8712   269.24717   -22.93564   3.74E-5   3.74E-5   6.4632    0.87121    3.667762899490945E-5    3.515709326394305E-5    0.0     0.0      0.0    0.0     1.04E-4   5.3   0.89   0.5    13     none             NULL              
  G006.4691+00.1789   269.90242   -23.27646   3.34E-5   3.34E-5   6.46913   0.17886    3.268832928808303E-5    3.107354278261824E-5    0.0     0.0      0.0    0.0     1.69E-4   6.0   0.89   0.5    15     none             NULL              
  G006.4741+00.4882   269.6134    -23.11794   3.56E-5   3.56E-5   6.47409   0.48817    3.515208528733627E-5    3.358641150477604E-5    0.0     0.0      0.0    0.0     9.6E-5    5.6   0.88   0.5    13     none             NULL              
  G006.4773-00.1249   270.19397   -23.42031   3.36E-5   3.36E-5   6.47729   -0.12492   3.268944418527775E-5    3.144004291879147E-5    0.0     0.0      0.0    0.0     1.13E-4   5.9   0.83   0.5    14     none             NULL              
  G006.4803-00.5211   270.57099   -23.61375   3.9E-5    3.9E-5    6.48026   -0.52105   3.837610945327928E-5    3.662624141042859E-5    0.0     0.0      0.0    0.0     1.11E-4   5.1   0.96   0.5    14     none             NULL              
  G006.4829+00.1661   269.92192   -23.27086   3.9E-5    3.9E-5    6.4829    0.1661     3.8195241193736535E-5   3.6380630768078225E-5   0.0     0.0      0.0    0.0     1.48E-4   5.1   0.56   0.4    8      none             NULL              
  G006.4860+00.6983   269.42212   -23.00256   3.94E-5   3.94E-5   6.48601   0.69828    3.838110363946709E-5    3.7148209895607E-5      0.0     0.0      0.0    0.0     1.42E-4   5.1   0.84   0.5    11     none             G006.481+00.698   
  G006.4882+00.1996   269.89314   -23.24961   3.94E-5   3.94E-5   6.48818   0.19961    3.8484857659451596E-5   3.7145043455164994E-5   0.0     0.0      0.0    0.0     1.29E-4   5.0   0.95   0.5    13     none             NULL              
  G006.4885+00.7189   269.40405   -22.99006   3.68E-5   3.68E-5   6.4885    0.71894    3.6294600043523456E-5   3.471899630840467E-5    0.0     0.0      0.0    0.0     1.24E-4   5.4   0.78   0.5    12     none             NULL              
  G006.4905+00.4980   269.61306   -23.09886   3.8E-5    3.8E-5    6.49046   0.49797    3.6902884095093704E-5   3.570096517932375E-5    0.0     0.0      0.0    0.0     1.09E-4   5.2   0.92   0.5    14     none             NULL              
  G006.4907+00.5118   269.60012   -23.09177   3.92E-5   3.92E-5   6.49066   0.51182    3.8588979305515475E-5   3.646086476168557E-5    0.0     0.0      0.0    0.0     1.06E-4   5.1   1.11   0.5    15     none             NULL              
  G006.4930+00.0758   270.01266   -23.30697   3.93E-5   3.93E-5   6.49303   0.07584    3.873921007555469E-5    3.726443667527313E-5    0.0     0.0      0.0    0.0     1.17E-4   5.1   1.07   0.5    14     none             NULL              
  G006.5026-00.7055   270.75819   -23.68522   3.49E-5   3.49E-5   6.50265   -0.70547   3.412158828956803E-5    3.2798270279769926E-5   0.0     0.0      0.0    0.0     1.04E-4   5.7   0.81   0.5    13     none             NULL              
  G006.5031+00.2789   269.82637   -23.19717   3.89E-5   3.89E-5   6.50309   0.27894    3.8012990254730376E-5   3.667014093116279E-5    0.0     0.0      0.0    0.0     1.24E-4   5.1   0.64   0.4    10     none             NULL              
  G006.5053-00.9877   271.0281    -23.8217    3.03E-5   3.03E-5   6.50529   -0.9877    2.9296989580513953E-5   2.8487882037621212E-5   0.0     0.0      0.0    0.0     1.38E-4   6.6   0.74   0.5    13     none             NULL              
  G006.5131+01.0100   269.1441    -22.82282   3.41E-5   3.41E-5   6.51313   1.00996    3.3443000523425024E-5   3.21123122471877E-5     0.0     0.0      0.0    0.0     1.76E-4   5.8   0.73   0.5    11     none             NULL              
  G006.5150+00.1775   269.92858   -23.23732   3.44E-5   3.44E-5   6.51504   0.17748    3.368563405083872E-5    3.218157128109705E-5    0.0     0.0      0.0    0.0     1.54E-4   5.8   0.79   0.5    14     none             G006.517+00.176   
  G006.5190+00.1338   269.97192   -23.25564   3.43E-5   3.43E-5   6.51896   0.13383    3.3842450163982045E-5   3.244492771466607E-5    0.0     0.0      0.0    0.0     1.64E-4   5.8   0.8    0.5    13     none             NULL              
  G006.5220-01.0152   271.06324   -23.82058   3.87E-5   3.87E-5   6.52205   -1.01516   3.8137495186246064E-5   3.622211664628602E-5    0.0     0.0      0.0    0.0     1.93E-4   5.1   1.08   0.5    15     none             NULL              
  G006.5223-01.0281   271.07574   -23.82669   3.52E-5   3.52E-5   6.52234   -1.02812   3.48645275776857E-5     3.27921016618936E-5     0.0     0.0      0.0    0.0     2.32E-4   5.7   0.55   0.4    10     none             NULL              
  G006.5276+00.5625   269.57241   -23.03447   3.52E-5   3.52E-5   6.52756   0.56253    3.4095920290137294E-5   3.255564859709753E-5    0.0     0.0      0.0    0.0     1.04E-4   5.7   0.9    0.5    14     none             NULL              
  G006.5354-00.7129   270.78286   -23.66039   3.84E-5   3.84E-5   6.53539   -0.71291   3.830182392479922E-5    3.533489272204209E-5    0.0     0.0      0.0    0.0     1.04E-4   5.2   0.89   0.5    12     none             NULL              
  G006.5358+00.2686   269.85389   -23.17399   3.72E-5   3.72E-5   6.5358    0.26855    3.6642649209251346E-5   3.520156382941868E-5    0.0     0.0      0.0    0.0     1.46E-4   5.3   0.71   0.5    11     none             NULL              
  G006.5429-00.1825   270.28388   -23.39191   2.94E-5   2.94E-5   6.54286   -0.1825    2.8396966346875198E-5   2.767973101289181E-5    0.0     0.0      0.0    0.0     1.18E-4   6.8   0.97   0.6    18     none             NULL              
  G006.5473-00.5347   270.62004   -23.56221   3.9E-5    3.9E-5    6.54728   -0.53471   3.833223659253954E-5    3.640574915625591E-5    0.0     0.0      0.0    0.0     1.12E-4   5.1   0.82   0.5    11     none             NULL              
  G006.5495+00.6360   269.51522   -22.97872   3.04E-5   3.04E-5   6.54954   0.63599    3.0070401580326235E-5   2.8348528063250615E-5   0.0     0.0      0.0    0.0     1.17E-4   6.6   1.0    0.6    19     none             G006.549+00.636   
  G006.5513-00.0983   270.20877   -23.34282   3.7E-5    3.7E-5    6.55132   -0.09828   3.601376285867794E-5    3.4855190185526335E-5   0.0     0.0      0.0    0.0     2.13E-4   5.4   2.03   0.8    34     none             G006.552-00.096   
  G006.5516+00.0609   270.05844   -23.2636    3.34E-5   3.34E-5   6.55156   0.0609     3.2336392507617795E-5   3.1116300291299156E-5   0.0     0.0      0.0    0.0     1.32E-4   6.0   0.77   0.5    13     none             NULL              
  G006.5564+00.8877   269.28246   -22.84672   3.54E-5   3.54E-5   6.55645   0.88767    3.452443318533154E-5    3.2957481234071536E-5   0.0     0.0      0.0    0.0     1.11E-4   5.6   0.9    0.5    13     none             NULL              
  G006.5602+00.7922   269.37417   -22.89135   3.65E-5   3.65E-5   6.56017   0.79218    3.547165978177294E-5    3.445529245240758E-5    0.0     0.0      0.0    0.0     1.11E-4   5.4   0.73   0.5    11     none             NULL              
  G006.5689+00.0849   270.04512   -23.23657   3.75E-5   3.75E-5   6.56894   0.08495    3.6712718961949895E-5   3.53684904237833E-5     0.0     0.0      0.0    0.0     1.26E-4   5.3   0.74   0.5    12     none             NULL              
  G006.5700-00.5400   270.63732   -23.54506   3.96E-5   3.96E-5   6.57001   -0.54003   3.879312904875875E-5    3.721068220735663E-5    0.0     0.0      0.0    0.0     1.1E-4    5.0   1.13   0.6    16     none             NULL              
  G006.5745+01.0265   269.162     -22.76147   3.12E-5   3.12E-5   6.57448   1.0265     3.0822917478281164E-5   2.928576204892176E-5    0.0     0.0      0.0    0.0     2.21E-4   6.4   0.52   0.5    12     none             NULL              
  G006.5760+00.1911   269.94878   -23.17765   3.17E-5   3.17E-5   6.57604   0.19107    3.104087255620923E-5    2.990153996942206E-5    0.0     0.0      0.0    0.0     1.9E-4    6.3   1.08   0.6    18     Radio            G006.576+00.190   
  G006.5864-00.6862   270.78486   -23.60284   3.97E-5   3.97E-5   6.58639   -0.68617   3.883870471773551E-5    3.7073020671637825E-5   0.0     0.0      0.0    0.0     1.12E-4   5.0   0.73   0.5    11     none             NULL              
  G006.5870-00.3629   270.47853   -23.44281   3.71E-5   3.71E-5   6.58702   -0.3629    3.6315658207127284E-5   3.4775765734964624E-5   0.0     0.0      0.0    0.0     1.28E-4   5.4   0.67   0.4    10     none             NULL              
  G006.5930+00.6048   269.56819   -22.95668   3.87E-5   3.87E-5   6.593     0.60477    3.8424267201935643E-5   3.660757754213046E-5    0.0     0.0      0.0    0.0     9.86E-5   5.1   1.0    0.5    14     none             NULL              
  G006.5935+00.5834   269.58859   -22.96695   3.95E-5   3.95E-5   6.59349   0.58337    3.918555751202361E-5    3.6500199390659256E-5   0.0     0.0      0.0    0.0     1.03E-4   5.0   0.97   0.5    13     none             NULL              
  G006.5951+00.9307   269.26312   -22.79175   3.67E-5   3.67E-5   6.59507   0.93065    3.5834158009142096E-5   3.433718062102614E-5    0.0     0.0      0.0    0.0     1.1E-4    5.4   0.91   0.5    14     none             NULL              
  G006.5959+00.0247   270.11657   -23.2431    3.38E-5   3.38E-5   6.59588   0.02472    3.3181898145926615E-5   3.143998406397071E-5    0.0     0.0      0.0    0.0     1.22E-4   5.9   0.85   0.5    14     none             NULL              
  G006.5967-00.6684   270.77351   -23.58508   3.38E-5   3.38E-5   6.59672   -0.66837   3.353451454786149E-5    3.1311880140580364E-5   0.0     0.0      0.0    0.0     1.13E-4   5.9   0.75   0.5    12     none             NULL              
  G006.5988+00.1637   269.98691   -23.17146   3.83E-5   3.83E-5   6.59885   0.16373    3.827191413601452E-5    3.602708486895022E-5    0.0     0.0      0.0    0.0     1.34E-4   5.2   0.73   0.5    11     none             G006.597+00.171   
  G006.6008+00.1072   270.04132   -23.19787   3.18E-5   3.18E-5   6.60079   0.10721    3.155711092892147E-5    2.976432757658681E-5    0.0     0.0      0.0    0.0     1.28E-4   6.3   0.6    0.5    11     none             NULL              
  G006.6020+00.8711   269.3228    -22.81567   3.91E-5   3.91E-5   6.60196   0.87106    3.816879961687996E-5    3.625542734625253E-5    0.0     0.0      0.0    0.0     1.33E-4   5.1   0.78   0.5    12     none             NULL              
  G006.6027-00.2599   270.38938   -23.37823   3.89E-5   3.89E-5   6.60269   -0.25986   3.773521916837793E-5    3.634575588150505E-5    0.0     0.0      0.0    0.0     1.05E-4   5.1   0.86   0.5    12     none             NULL              
  G006.6033+00.5368   269.63772   -22.98169   3.91E-5   3.91E-5   6.60332   0.53682    3.807597740743759E-5    3.682767822302409E-5    0.0     0.0      0.0    0.0     9.6E-5    5.1   0.92   0.5    13     none             NULL              
  G006.6107+00.8887   269.31099   -22.79929   3.17E-5   3.17E-5   6.61068   0.88869    3.0951431049808974E-5   2.9891917308216225E-5   0.0     0.0      0.0    0.0     1.34E-4   6.3   0.74   0.5    13     none             NULL              
  G006.6124+00.1181   270.03726   -23.18239   3.91E-5   3.91E-5   6.61236   0.11814    3.8005399388642776E-5   3.6283638010000596E-5   0.0     0.0      0.0    0.0     1.29E-4   5.1   0.72   0.5    11     none             NULL              
  G006.6127+01.0659   269.14587   -22.70859   3.62E-5   3.62E-5   6.61275   1.06592    3.592782463704834E-5    3.41798631696464E-5     0.0     0.0      0.0    0.0     6.53E-4   5.5   0.86   0.5    14     none             NULL              
  G006.6128+01.0247   269.18451   -22.72923   3.9E-5    3.9E-5    6.61278   1.02473    3.797976798281616E-5    3.630788870818707E-5    0.0     0.0      0.0    0.0     1.91E-4   5.1   0.99   0.5    15     none             NULL              
  G006.6139+00.1292   270.02764   -23.17555   3.76E-5   3.76E-5   6.61391   0.12921    3.712983712894193E-5    3.52445665552843E-5     0.0     0.0      0.0    0.0     1.31E-4   5.3   0.78   0.5    13     none             NULL              
  G006.6178-00.7987   270.90869   -23.63083   3.95E-5   3.95E-5   6.61785   -0.79871   3.8749584198895197E-5   3.6977182256241466E-5   0.0     0.0      0.0    0.0     1.08E-4   5.0   1.07   0.5    14     none             NULL              
  G006.6188+00.3530   269.8192    -23.05988   3.93E-5   3.93E-5   6.61885   0.35305    3.849209157192893E-5    3.682724428142473E-5    0.0     0.0      0.0    0.0     1.19E-4   5.1   1.04   0.5    14     none             NULL              
  G006.6217-00.1857   270.32945   -23.32502   3.97E-5   3.97E-5   6.62169   -0.18571   3.9085939573100335E-5   3.6816649263874456E-5   0.0     0.0      0.0    0.0     1.18E-4   5.0   0.96   0.5    14     none             NULL              
  G006.6222-00.0883   270.23756   -23.27628   3.86E-5   3.86E-5   6.62221   -0.08825   3.7551340400905875E-5   3.6256547762499184E-5   0.0     0.0      0.0    0.0     1.37E-4   5.2   0.85   0.5    13     none             NULL              
  G006.6258+01.0290   269.18761   -22.71585   3.71E-5   3.71E-5   6.6258    1.02898    3.6506324258533895E-5   3.454372559734751E-5    0.0     0.0      0.0    0.0     2.18E-4   5.4   0.57   0.4    10     none             NULL              
  G006.6286+00.8046   269.39968   -22.82589   3.62E-5   3.62E-5   6.62861   0.80462    3.537566214715854E-5    3.392194995261077E-5    0.0     0.0      0.0    0.0     1.22E-4   5.5   0.6    0.4    10     none             NULL              
  G006.6307+00.7297   269.47118   -22.8616    3.96E-5   3.96E-5   6.63067   0.7297     3.878279778221281E-5    3.718899813046966E-5    0.0     0.0      0.0    0.0     1.08E-4   5.0   1.15   0.6    16     none             NULL              
  G006.6362+01.0271   269.19504   -22.70776   3.14E-5   3.14E-5   6.63623   1.0271     3.0795225253578755E-5   2.93808858157204E-5     0.0     0.0      0.0    0.0     2.21E-4   6.4   0.58   0.5    12     none             NULL              
  G006.6386+00.1120   270.0572    -23.16262   3.81E-5   3.81E-5   6.63863   0.11205    3.72302673584387E-5     3.574037266582022E-5    0.0     0.0      0.0    0.0     1.44E-4   5.2   0.92   0.5    13     none             NULL              
  G006.6388-00.4811   270.61842   -23.4561    3.62E-5   3.62E-5   6.63884   -0.48106   3.5147274922752045E-5   3.37085985636096E-5     0.0     0.0      0.0    0.0     1.14E-4   5.5   1.22   0.6    18     none             NULL              
  G006.6462-00.5186   270.65797   -23.46825   3.58E-5   3.58E-5   6.64617   -0.51861   3.5244130565754473E-5   3.3821819726904384E-5   0.0     0.0      0.0    0.0     1.11E-4   5.6   1.02   0.6    17     none             NULL              
  G006.6502+00.8601   269.35931   -22.77938   3.29E-5   3.29E-5   6.65023   0.86011    3.255396799367678E-5    3.1330555132907714E-5   0.0     0.0      0.0    0.0     1.61E-4   6.1   0.64   0.5    11     none             NULL              
  G006.6519+01.0215   269.20881   -22.69708   3.91E-5   3.91E-5   6.65186   1.02148    3.856251061021277E-5    3.666922893968052E-5    0.0     0.0      0.0    0.0     2.23E-4   5.1   0.7    0.4    9      none             NULL              
  G006.6524-01.0250   271.14246   -23.71188   3.47E-5   3.47E-5   6.65236   -1.02502   3.372818825666815E-5    3.215358483064371E-5    0.0     0.0      0.0    0.0     2.09E-4   5.7   0.71   0.5    12     none             NULL              
  G006.6539+00.1816   269.99978   -23.11481   3.73E-5   3.73E-5   6.65388   0.18163    3.6623288481715294E-5   3.524378855674606E-5    0.0     0.0      0.0    0.0     1.39E-4   5.3   1.15   0.6    17     none             NULL              
  G006.6553+00.2240   269.96054   -23.09249   3.96E-5   3.96E-5   6.65529   0.22405    3.9066332177575893E-5   3.7286989685025916E-5   0.0     0.0      0.0    0.0     1.38E-4   5.0   0.76   0.5    11     none             NULL              
  G006.6596+00.8300   269.39272   -22.78634   3.5E-5    3.5E-5    6.65964   0.82997    3.4464914828302393E-5   3.308504590758224E-5    0.0     0.0      0.0    0.0     1.39E-4   5.7   0.73   0.5    11     none             NULL              
  G006.6685-00.3668   270.52612   -23.37395   3.82E-5   3.82E-5   6.66847   -0.36684   3.73589561045788E-5     3.6174138714079593E-5   0.0     0.0      0.0    0.0     1.23E-4   5.2   0.85   0.5    12     none             NULL              
  G006.6702+00.7876   269.43824   -22.79836   3.45E-5   3.45E-5   6.67024   0.78762    3.413861880887509E-5    3.26677469645762E-5     0.0     0.0      0.0    0.0     1.25E-4   5.8   0.71   0.5    12     none             NULL              
  G006.6703+00.0068   270.17372   -23.18737   3.84E-5   3.84E-5   6.67032   0.00678    3.759483559756991E-5    3.622067661463813E-5    0.0     0.0      0.0    0.0     1.12E-4   5.2   1.03   0.5    15     none             NULL              
  G006.6720+01.0237   269.21766   -22.67858   3.55E-5   3.55E-5   6.67195   1.02369    3.445818178287962E-5    3.356160189169122E-5    0.0     0.0      0.0    0.0     2.28E-4   5.6   0.53   0.4    9      none             NULL              
  G006.6734+00.1326   270.05655   -23.12227   3.81E-5   3.81E-5   6.67335   0.13262    3.7199463415318605E-5   3.6020069141058605E-5   0.0     0.0      0.0    0.0     1.28E-4   5.2   0.9    0.5    14     none             NULL              
  G006.6734+00.1740   270.01752   -23.10171   3.94E-5   3.94E-5   6.67336   0.17399    3.849211654081954E-5    3.743904681422229E-5    0.0     0.0      0.0    0.0     1.37E-4   5.0   0.96   0.5    13     none             NULL              
  G006.6758+00.3926   269.81274   -22.99081   3.87E-5   3.87E-5   6.67578   0.39262    3.76799967091061E-5     3.678252218601629E-5    0.0     0.0      0.0    0.0     1.22E-4   5.1   0.86   0.5    12     none             NULL              
  G006.6833+00.6419   269.58227   -22.85992   3.93E-5   3.93E-5   6.68331   0.64188    3.859440130642158E-5    3.6576927294733665E-5   0.0     0.0      0.0    0.0     9.45E-5   5.1   1.02   0.5    14     none             NULL              
  G006.6856+00.2119   269.98833   -23.07223   3.34E-5   3.34E-5   6.68559   0.21193    3.236249892169276E-5    3.114356747073804E-5    0.0     0.0      0.0    0.0     1.31E-4   6.0   0.98   0.6    17     none             NULL              
  G006.6889+00.2397   269.96389   -23.05555   3.32E-5   3.32E-5   6.68888   0.23974    3.291006327521602E-5    3.124466676653579E-5    0.0     0.0      0.0    0.0     1.2E-4    6.0   0.67   0.5    12     none             NULL              
  G006.6901-00.7605   270.91113   -23.54915   3.93E-5   3.93E-5   6.69008   -0.7605    3.879593191764917E-5    3.704496033226138E-5    0.0     0.0      0.0    0.0     1.06E-4   5.1   1.02   0.5    14     none             G006.662-00.790   
  G006.6964-00.6857   270.8435    -23.50685   3.91E-5   3.91E-5   6.6964    -0.6857    3.831135512377504E-5    3.6907787563378E-5      0.0     0.0      0.0    0.0     1.12E-4   5.1   1.01   0.5    14     none             NULL              
  G006.6966-00.3480   270.52334   -23.34019   3.85E-5   3.85E-5   6.69656   -0.34795   3.786470031147852E-5    3.633859517715373E-5    0.0     0.0      0.0    0.0     1.3E-4    5.2   0.85   0.5    12     none             NULL              
  G006.6985-00.0224   270.21651   -23.1774    3.93E-5   3.93E-5   6.69849   -0.02243   3.846344906611761E-5    3.675770191231175E-5    0.0     0.0      0.0    0.0     1.15E-4   5.1   0.85   0.5    12     none             NULL              
  G006.7033-00.6554   270.81837   -23.48595   3.81E-5   3.81E-5   6.70326   -0.65536   3.72280928318048E-5     3.542054540621656E-5    0.0     0.0      0.0    0.0     1.04E-4   5.2   1.12   0.6    16     none             NULL              
  G006.7034+00.2281   269.98274   -23.04872   3.36E-5   3.36E-5   6.70343   0.22809    3.297949486554357E-5    3.155796998071201E-5    0.0     0.0      0.0    0.0     1.24E-4   5.9   0.81   0.5    13     none             NULL              
  G006.7034-00.3556   270.53424   -23.33797   3.92E-5   3.92E-5   6.70343   -0.35555   3.8653687605447655E-5   3.671045799633806E-5    0.0     0.0      0.0    0.0     1.25E-4   5.1   1.04   0.5    15     none             NULL              
  G006.7081+00.4565   269.77012   -22.931     3.8E-5    3.8E-5    6.70807   0.45645    3.6959054518938446E-5   3.592829014236264E-5    0.0     0.0      0.0    0.0     1.22E-4   5.2   0.8    0.5    12     none             NULL              
  G006.7124+01.0277   269.23588   -22.6416    3.17E-5   3.17E-5   6.71239   1.0277     3.1123751007892295E-5   2.9854785146162897E-5   0.0     0.0      0.0    0.0     2.45E-4   6.3   0.67   0.5    15     none             NULL              
  G006.7131-00.8007   270.96167   -23.54888   3.83E-5   3.83E-5   6.71309   -0.80071   3.7690295357083775E-5   3.641501081033777E-5    0.0     0.0      0.0    0.0     1.09E-4   5.2   0.93   0.5    13     none             NULL              
  G006.7139+00.3068   269.91424   -23.00052   3.7E-5    3.7E-5    6.71388   0.30676    3.63633691414263E-5     3.4757828171288735E-5   0.0     0.0      0.0    0.0     1.27E-4   5.4   0.79   0.5    12     none             NULL              
  G006.7151-00.7991   270.96127   -23.54631   3.93E-5   3.93E-5   6.71515   -0.79913   3.8405587330573E-5      3.6844014979711436E-5   0.0     0.0      0.0    0.0     1.1E-4    5.1   0.94   0.5    13     none             NULL              
  G006.7204-00.5702   270.74685   -23.42908   3.9E-5    3.9E-5    6.72045   -0.57024   3.875119672762159E-5    3.624279998676787E-5    0.0     0.0      0.0    0.0     1.09E-4   5.1   0.85   0.5    12     none             NULL              
  G006.7209-00.3353   270.52446   -23.31276   3.82E-5   3.82E-5   6.72092   -0.33529   3.803435926211804E-5    3.5985132362115316E-5   0.0     0.0      0.0    0.0     1.24E-4   5.2   0.97   0.5    14     none             NULL              
  G006.7253+01.0269   269.24363   -22.6308    3.55E-5   3.55E-5   6.72531   1.02694    3.496023571722093E-5    3.372568097015212E-5    0.0     0.0      0.0    0.0     2.26E-4   5.6   0.51   0.4    9      none             NULL              
  G006.7266+00.4214   269.81312   -22.93244   3.93E-5   3.93E-5   6.72656   0.4214     3.872874255950823E-5    3.6774095346255485E-5   0.0     0.0      0.0    0.0     1.13E-4   5.1   0.92   0.5    13     none             NULL              
  G006.7399+00.3426   269.89452   -22.96013   3.46E-5   3.46E-5   6.73988   0.34261    3.412130068756493E-5    3.253631922262531E-5    0.0     0.0      0.0    0.0     1.27E-4   5.8   0.72   0.5    13     none             NULL              
  G006.7456-00.6728   270.85762   -23.45763   3.91E-5   3.91E-5   6.74564   -0.67276   3.86582686703054E-5     3.6705545340368995E-5   0.0     0.0      0.0    0.0     1.07E-4   5.1   1.16   0.6    16     none             NULL              
  G006.7519+00.8640   269.41083   -22.68947   3.87E-5   3.87E-5   6.75186   0.86401    3.821263295948585E-5    3.640398543282296E-5    0.0     0.0      0.0    0.0     1.16E-4   5.1   0.93   0.5    13     none             NULL              
  G006.7522+00.6768   269.58678   -22.78277   3.8E-5    3.8E-5    6.75221   0.67682    3.7131735143337936E-5   3.5897855418628766E-5   0.0     0.0      0.0    0.0     9.56E-5   5.2   0.95   0.5    13     none             NULL              
  G006.7547+00.8757   269.4014    -22.68113   3.56E-5   3.56E-5   6.75472   0.87572    3.478020207290447E-5    3.366966795812658E-5    0.0     0.0      0.0    0.0     1.27E-4   5.6   0.72   0.5    12     none             NULL              
  G006.7578+01.0241   269.26395   -22.6041    3.64E-5   3.64E-5   6.75783   1.02409    3.542687457686735E-5    3.432024569068683E-5    0.0     0.0      0.0    0.0     2.09E-4   5.5   0.77   0.5    12     none             NULL              
  G006.7614-00.3383   270.54909   -23.27905   3.97E-5   3.97E-5   6.7614    -0.33831   3.8998993347606646E-5   3.67830045677926E-5     0.0     0.0      0.0    0.0     1.16E-4   5.0   1.33   0.6    18     none             NULL              
  G006.7625+00.9227   269.36158   -22.65091   3.45E-5   3.45E-5   6.76248   0.92266    3.372132871324408E-5    3.250532172124066E-5    0.0     0.0      0.0    0.0     1.47E-4   5.8   0.8    0.5    13     none             G006.767+00.917   
  G006.7656+00.9316   269.35492   -22.64373   3.67E-5   3.67E-5   6.76562   0.93158    3.598479060176995E-5    3.475305935937148E-5    0.0     0.0      0.0    0.0     1.21E-4   5.4   0.94   0.5    15     none             NULL              
  G006.7669-00.9125   271.09674   -23.55689   3.95E-5   3.95E-5   6.7669    -0.91251   3.825663379562015E-5    3.7347548512645006E-5   0.0     0.0      0.0    0.0     1.06E-4   5.0   0.8    0.5    11     none             NULL              
  G006.7698-00.7377   270.93221   -23.46855   3.58E-5   3.58E-5   6.76978   -0.73771   3.4753736207876194E-5   3.351581599695193E-5    0.0     0.0      0.0    0.0     1.16E-4   5.6   0.86   0.5    13     none             NULL              
  G006.7722+00.1780   270.06711   -23.01396   3.77E-5   3.77E-5   6.77218   0.17799    3.744237439350386E-5    3.551707693711171E-5    0.0     0.0      0.0    0.0     1.18E-4   5.3   0.91   0.5    14     none             NULL              
  G006.7741+01.0258   269.27119   -22.58921   3.96E-5   3.96E-5   6.77406   1.02578    3.877023284122601E-5    3.727917752879494E-5    0.0     0.0      0.0    0.0     2.23E-4   5.0   0.74   0.4    10     none             NULL              
  G006.7793+00.2553   269.99807   -22.96932   3.89E-5   3.89E-5   6.77933   0.25533    3.7675340263553926E-5   3.656152042079954E-5    0.0     0.0      0.0    0.0     1.18E-4   5.1   0.66   0.4    10     none             NULL              
  G006.7797+00.5669   269.70495   -22.81387   3.88E-5   3.88E-5   6.77965   0.56691    3.8067524837478876E-5   3.6555606803485E-5      0.0     0.0      0.0    0.0     9.91E-5   5.1   1.02   0.5    14     none             NULL              
  G006.7832+00.6656   269.61407   -22.76156   3.95E-5   3.95E-5   6.78317   0.66562    3.884529213635526E-5    3.730015012606693E-5    0.0     0.0      0.0    0.0     1.06E-4   5.0   1.0    0.5    14     none             NULL              
  G006.7870+00.5646   269.71114   -22.80868   3.71E-5   3.71E-5   6.787     0.56455    3.716310532896635E-5    3.486539324515634E-5    0.0     0.0      0.0    0.0     1.04E-4   5.4   1.02   0.5    15     none             NULL              
  G006.7880+00.0625   270.1846    -23.05752   3.96E-5   3.96E-5   6.78804   0.06251    3.806209347451689E-5    3.7032493654530537E-5   0.0     0.0      0.0    0.0     1.2E-4    5.0   1.09   0.5    15     none             NULL              
  G006.7886-00.4987   270.71564   -23.33456   3.73E-5   3.73E-5   6.78858   -0.49874   3.663623270395065E-5    3.520695561311546E-5    0.0     0.0      0.0    0.0     1.06E-4   5.3   0.76   0.5    13     none             NULL              
  G006.7896+00.0782   270.17067   -23.04838   3.96E-5   3.96E-5   6.78961   0.07817    3.901830896280658E-5    3.6826499238268634E-5   0.0     0.0      0.0    0.0     1.22E-4   5.0   0.91   0.5    12     none             NULL              
  G006.7933-00.3239   270.55259   -23.24415   3.94E-5   3.94E-5   6.79333   -0.32387   3.828470508617381E-5    3.6930639228612216E-5   0.0     0.0      0.0    0.0     1.15E-4   5.1   0.87   0.5    12     none             NULL              
  G006.7936+00.0894   270.16225   -23.03933   3.93E-5   3.93E-5   6.79362   0.08939    3.89231453194823E-5     3.6701781875621105E-5   0.0     0.0      0.0    0.0     1.22E-4   5.1   0.83   0.5    11     none             NULL              
  G006.8003+00.2146   270.04775   -22.97139   3.96E-5   3.96E-5   6.80027   0.2146     3.8862542950740474E-5   3.7216361576233646E-5   0.0     0.0      0.0    0.0     1.19E-4   5.0   0.69   0.4    10     none             NULL              
  G006.8019-00.3069   270.54109   -23.22835   3.97E-5   3.97E-5   6.80186   -0.30688   3.9321067263989793E-5   3.7874823298208725E-5   0.0     0.0      0.0    0.0     1.12E-4   5.0   1.0    0.5    13     none             NULL              
  G006.8033+00.5513   269.73248   -22.80116   3.82E-5   3.82E-5   6.80333   0.55125    3.8001020365520994E-5   3.566143738023016E-5    0.0     0.0      0.0    0.0     1.01E-4   5.2   0.87   0.5    12     none             NULL              
  G006.8086-00.7537   270.96818   -23.44259   3.81E-5   3.81E-5   6.80861   -0.75369   3.7021190187049266E-5   3.579308250593728E-5    0.0     0.0      0.0    0.0     1.19E-4   5.2   0.97   0.5    14     none             NULL              
