# gname               ra          dec         era       edec      l         b          el                      eb                      Speak   eSpeak   Sint   eSint   RMS       SNR   Yf     Reff   Npix   Simb_class       GD_name           
  G002.1643+00.6356   267.05999   -26.75616   3.9E-5    3.9E-5    2.16427   0.63555    3.7425945330143085E-5   3.5944283055420194E-5   0.0     0.0      0.0    0.0     8.41E-5   5.1   0.94   0.5    13     none             NULL              
  G002.1659+00.3352   267.3494    -26.90952   3.8E-5    3.8E-5    2.16592   0.3352     3.701809536028667E-5    3.5007888728930426E-5   0.0     0.0      0.0    0.0     9.07E-5   5.2   1.16   0.6    17     none             NULL              
  G002.1724+00.5490   267.14773   -26.79391   3.42E-5   3.42E-5   2.17236   0.54898    3.3282773008708744E-5   3.1670164956313935E-5   0.0     0.0      0.0    0.0     9.29E-5   5.8   1.17   0.6    20     none             NULL              
  G002.1768-00.2196   267.89056   -27.18454   3.73E-5   3.73E-5   2.17677   -0.21961   3.61037151312664E-5     3.4246396085008945E-5   0.0     0.0      0.0    0.0     9.01E-5   5.3   0.76   0.5    11     none             NULL              
  G002.2037-00.1648   267.85309   -27.13337   3.78E-5   3.78E-5   2.20374   -0.16481   3.7039382018391024E-5   3.476336696668484E-5    0.0     0.0      0.0    0.0     9.53E-5   5.3   0.93   0.5    13     none             NULL              
  G002.2178+01.0699   266.67529   -26.48554   3.94E-5   3.94E-5   2.21784   1.06989    3.818020656833233E-5    3.665106839801989E-5    0.0     0.0      0.0    0.0     7.39E-4   5.1   0.93   0.5    13     none             NULL              
  G002.2213+00.9433   266.79833   -26.54819   3.84E-5   3.84E-5   2.22134   0.94326    3.714541563835572E-5    3.559242881227989E-5    0.0     0.0      0.0    0.0     9.79E-5   5.2   0.86   0.5    12     none             NULL              
  G002.2241+00.1442   267.56671   -26.95771   3.86E-5   3.86E-5   2.22408   0.14422    3.7861354188946234E-5   3.572585246972194E-5    0.0     0.0      0.0    0.0     9.59E-5   5.1   1.0    0.5    14     none             NULL              
  G002.2243+00.4484   267.27433   -26.80121   3.95E-5   3.95E-5   2.22433   0.44836    3.831573154278607E-5    3.6329578049836395E-5   0.0     0.0      0.0    0.0     9.66E-5   5.0   0.82   0.5    11     none             NULL              
  G002.2276-01.0324   268.70804   -27.55354   3.86E-5   3.86E-5   2.22757   -1.03239   3.747917016803206E-5    3.5804427795808954E-5   0.0     0.0      0.0    0.0     2.61E-4   5.2   1.21   0.6    17     none             NULL              
  G002.2466+00.4766   267.26005   -26.76757   3.73E-5   3.73E-5   2.24661   0.47661    3.618568629187803E-5    3.442895265022436E-5    0.0     0.0      0.0    0.0     1.02E-4   5.3   0.92   0.5    14     none             NULL              
  G002.2581+00.5153   267.22957   -26.73778   3.22E-5   3.22E-5   2.25812   0.51528    3.119077622386288E-5    2.924929395134655E-5    0.0     0.0      0.0    0.0     1.01E-4   6.2   1.08   0.6    18     none             G002.258+00.515   
  G002.2593-00.5258   268.23411   -27.26956   3.83E-5   3.83E-5   2.25925   -0.52579   3.746758516704555E-5    3.4978353930663494E-5   0.0     0.0      0.0    0.0     9.96E-5   5.2   0.93   0.5    13     none             NULL              
  G002.2626+01.0504   266.7198    -26.45736   3.95E-5   3.95E-5   2.2626    1.05043    3.852822398197455E-5    3.629888188630854E-5    0.0     0.0      0.0    0.0     3.08E-4   5.0   0.88   0.5    12     none             NULL              
  G002.2658-00.3874   268.10386   -27.19351   3.64E-5   3.64E-5   2.2658    -0.3874    3.5407738177682766E-5   3.298884846901919E-5    0.0     0.0      0.0    0.0     9.74E-5   5.5   1.18   0.6    19     none             NULL              
  G002.2695-00.5074   268.22217   -27.25139   3.49E-5   3.49E-5   2.2695    -0.50742   3.442979807369844E-5    3.197917811980849E-5    0.0     0.0      0.0    0.0     1.7E-4    5.7   0.77   0.5    13     none             G002.269-00.508   
  G002.2696-00.5096   268.22437   -27.25243   3.56E-5   3.56E-5   2.2696    -0.50962   3.406074492786577E-5    3.260241730593085E-5    0.0     0.0      0.0    0.0     1.69E-4   5.6   1.7    0.7    28     none             G002.269-00.508   
  G002.2779+00.8403   266.9295    -26.55307   3.56E-5   3.56E-5   2.27791   0.84033    3.4924595770862446E-5   3.280529895998223E-5    0.0     0.0      0.0    0.0     8.95E-5   5.6   0.76   0.5    11     none             G002.278+00.841   
  G002.2809-00.3463   268.07272   -27.1596    3.76E-5   3.76E-5   2.28088   -0.34629   3.686514407662472E-5    3.444208572941264E-5    0.0     0.0      0.0    0.0     1.11E-4   5.3   1.42   0.6    21     none             G002.281-00.345   
  G002.2877+00.4854   267.27531   -26.72781   3.94E-5   3.94E-5   2.28771   0.4854     3.800088571752569E-5    3.654712133928422E-5    0.0     0.0      0.0    0.0     1.01E-4   5.0   1.16   0.6    16     none             G002.318+00.460   
  G002.2882-01.0135   268.72416   -27.49163   3.77E-5   3.77E-5   2.28823   -1.01347   3.664651463078972E-5    3.4454749204669806E-5   0.0     0.0      0.0    0.0     1.86E-4   5.3   0.62   0.4    10     none             NULL              
  G002.2888-01.0103   268.7214    -27.48957   3.26E-5   3.26E-5   2.28878   -1.01032   3.140253625029227E-5    3.0117906818157162E-5   0.0     0.0      0.0    0.0     1.78E-4   6.1   0.82   0.5    15     none             NULL              
  G002.2959+00.5176   267.24919   -26.70419   3.53E-5   3.53E-5   2.29595   0.51756    3.426738258926706E-5    3.233019839772504E-5    0.0     0.0      0.0    0.0     9.56E-5   5.6   0.83   0.5    13     none             NULL              
  G002.2966+00.2434   267.51303   -26.84458   3.82E-5   3.82E-5   2.29663   0.24335    3.670919955318602E-5    3.499645778513128E-5    0.0     0.0      0.0    0.0     9.89E-5   5.2   0.97   0.5    14     none             G002.309+00.228   
  G002.2989-00.8181   268.54037   -27.38365   3.95E-5   3.95E-5   2.29894   -0.81815   3.834698737951624E-5    3.663993716335772E-5    0.0     0.0      0.0    0.0     1.0E-4    5.0   0.92   0.5    13     none             NULL              
  G002.3055+00.9411   266.84911   -26.47737   2.88E-5   2.88E-5   2.30546   0.94106    2.8156206695197558E-5   2.6367611700622704E-5   0.0     0.0      0.0    0.0     1.04E-4   6.9   1.0    0.6    20     none             G002.306+00.941   
  G002.3130+00.5607   267.21768   -26.66738   3.86E-5   3.86E-5   2.31299   0.56065    3.7111260885524295E-5   3.5864497738768774E-5   0.0     0.0      0.0    0.0     9.06E-5   5.2   0.98   0.5    14     none             NULL              
  G002.3144+00.9595   266.83662   -26.4602    2.99E-5   2.99E-5   2.31437   0.95952    2.917502925791999E-5    2.7919208153497953E-5   0.0     0.0      0.0    0.0     1.04E-4   6.7   0.92   0.6    18     none             G002.315+00.960   
  G002.3179-00.9170   268.64722   -27.41735   3.85E-5   3.85E-5   2.31786   -0.91702   3.759011656180495E-5    3.546802333046129E-5    0.0     0.0      0.0    0.0     1.06E-4   5.2   0.79   0.5    11     none             NULL              
  G002.3191-00.1954   267.94877   -27.0498    3.85E-5   3.85E-5   2.31909   -0.19539   3.739426364730091E-5    3.540187792591361E-5    0.0     0.0      0.0    0.0     9.01E-5   5.2   1.01   0.5    14     none             NULL              
  G002.3230+00.9123   266.88675   -26.47722   3.72E-5   3.72E-5   2.32303   0.91231    3.650797748346292E-5    3.4160839261142555E-5   0.0     0.0      0.0    0.0     9.14E-5   5.4   1.03   0.5    15     none             NULL              
  G002.3265-00.7896   268.52841   -27.34544   3.78E-5   3.78E-5   2.32652   -0.78964   3.66714954976511E-5     3.4860409445613903E-5   0.0     0.0      0.0    0.0     1.0E-4    5.3   0.65   0.4    9      none             NULL              
  G002.3273-01.0609   268.79258   -27.48183   3.95E-5   3.95E-5   2.32734   -1.06093   3.8613484407598524E-5   3.645066039394966E-5    0.0     0.0      0.0    0.0     6.05E-4   5.0   0.75   0.4    10     none             NULL              
  G002.3274-00.2010   267.95898   -27.04549   3.85E-5   3.85E-5   2.32744   -0.20101   3.746060786180919E-5    3.5541455439597884E-5   0.0     0.0      0.0    0.0     9.16E-5   5.2   0.79   0.5    11     none             NULL              
  G002.3327-00.9202   268.6588    -27.40617   3.92E-5   3.92E-5   2.3327    -0.92024   3.81924212236919E-5     3.5964684895846434E-5   0.0     0.0      0.0    0.0     1.09E-4   5.1   0.87   0.5    12     none             NULL              
  G002.3341-00.0278   267.79569   -26.95126   3.73E-5   3.73E-5   2.33413   -0.0278    3.643834370385044E-5    3.464396785294215E-5    0.0     0.0      0.0    0.0     8.87E-5   5.3   1.26   0.6    18     none             NULL              
  G002.3368-00.8720   268.61425   -27.37828   3.82E-5   3.82E-5   2.33676   -0.87202   3.748512101379173E-5    3.4731777365764875E-5   0.0     0.0      0.0    0.0     9.71E-5   5.2   1.07   0.5    15     none             NULL              
  G002.3372+00.3320   267.45117   -26.76422   3.88E-5   3.88E-5   2.33724   0.33198    3.766020479285213E-5    3.610798493130389E-5    0.0     0.0      0.0    0.0     1.03E-4   5.1   0.92   0.5    13     none             NULL              
  G002.3421-00.2917   268.05495   -27.07914   3.94E-5   3.94E-5   2.34206   -0.29168   3.8787641321557756E-5   3.6217716974714146E-5   0.0     0.0      0.0    0.0     9.67E-5   5.0   0.97   0.5    13     none             G002.342-00.292   
  G002.3465-00.1191   267.89082   -26.98725   3.81E-5   3.81E-5   2.34652   -0.11907   3.742817215668869E-5    3.472395361264647E-5    0.0     0.0      0.0    0.0     9.61E-5   5.2   0.98   0.5    14     none             NULL              
  G002.3592-00.3500   268.12112   -27.09404   3.73E-5   3.73E-5   2.35924   -0.34997   3.6479504068843226E-5   3.4833251441349685E-5   0.0     0.0      0.0    0.0     1.0E-4    5.3   0.82   0.5    12     none             NULL              
  G002.3637-01.0298   268.78295   -27.43473   3.48E-5   3.48E-5   2.36369   -1.02979   3.348826191712994E-5    3.173187007447925E-5    0.0     0.0      0.0    0.0     2.45E-4   5.7   0.59   0.5    11     none             NULL              
  G002.3674-00.0515   267.83761   -26.93475   3.35E-5   3.35E-5   2.36743   -0.05147   3.250546135318874E-5    3.092043958916245E-5    0.0     0.0      0.0    0.0     1.0E-4    5.9   1.01   0.6    16     Star             NULL              
  G002.3762-00.2157   268.00113   -27.01101   3.33E-5   3.33E-5   2.37624   -0.21571   3.223489297026953E-5    3.0913584031607066E-5   0.0     0.0      0.0    0.0     9.74E-5   6.0   0.84   0.5    14     none             NULL              
  G002.3819-00.6441   268.41882   -27.22396   3.97E-5   3.97E-5   2.38191   -0.64412   3.869923731367813E-5    3.658689881229738E-5    0.0     0.0      0.0    0.0     9.65E-5   5.0   0.8    0.5    11     none             NULL              
  G002.3858-00.7728   268.54579   -27.28577   3.85E-5   3.85E-5   2.3858    -0.77276   3.7815389147687615E-5   3.522222679393037E-5    0.0     0.0      0.0    0.0     9.8E-5    5.2   0.91   0.5    13     none             NULL              
  G002.3860+00.2194   267.58746   -26.78015   3.94E-5   3.94E-5   2.38601   0.21938    3.825831782289484E-5    3.690287162410617E-5    0.0     0.0      0.0    0.0     9.19E-5   5.0   0.99   0.5    13     none             NULL              
  G002.3943+00.4459   267.37463   -26.65676   3.91E-5   3.91E-5   2.39429   0.44586    3.7866697225288016E-5   3.6023427422836454E-5   0.0     0.0      0.0    0.0     9.44E-5   5.1   1.13   0.5    15     none             NULL              
  G002.3989-00.0853   267.88821   -26.925     3.96E-5   3.96E-5   2.39886   -0.08528   3.803244784773649E-5    3.685366977073233E-5    0.0     0.0      0.0    0.0     9.97E-5   5.0   1.03   0.5    14     none             NULL              
  G002.4021+00.0691   267.74128   -26.84331   3.25E-5   3.25E-5   2.40207   0.06912    3.1799128873432716E-5   2.9404827898406428E-5   0.0     0.0      0.0    0.0     1.2E-4    6.1   0.94   0.5    15     Radio            G002.402+00.069   
  G002.4096+00.9708   266.88089   -26.37287   3.17E-5   3.17E-5   2.40963   0.9708     3.094760837109472E-5    2.929327763666815E-5    0.0     0.0      0.0    0.0     1.21E-4   6.3   0.84   0.5    14     none             G002.410+00.971   
  G002.4140-00.2317   268.03819   -26.98666   2.92E-5   2.92E-5   2.41402   -0.23171   2.840534930412519E-5    2.668521049195135E-5    0.0     0.0      0.0    0.0     9.87E-5   6.8   1.23   0.7    23     Radio            G002.414-00.231   
