# gname               ra          dec         era       edec      l         b          el        eb        Class                Speak   eSpeak   Sint     eSint   RMS    SNR     Yf     Reff   Npix   Alpha    eAlpha  
  G008.8060+00.0503   271.27019   -21.3077    7.25E-6   7.25E-6   8.80598   0.05032    7.15E-6   6.95E-6   EgC                  2.62    0.17     3.5      0.2     0.09   29.73   1.33   1.12   63     -1.55    0.23    
  G008.8174+00.0276   271.29748   -21.30886   1.68E-5   1.68E-5   8.81742   0.02759    1.65E-5   1.59E-5   EgC                  0.91    0.09     0.98     0.09    0.08   11.95   1.08   0.76   29     -0.31    0.28    
  G008.8285+00.7045   270.67126   -20.96661   5.59E-6   5.59E-6   8.82852   0.70447    5.45E-6   5.32E-6   EgC                  3.43    0.21     4.29     0.23    0.09   41.16   1.25   1.1    61     -1.27    0.06    
  G008.8289+00.7054   270.67059   -20.96584   1.67E-5   1.67E-5   8.82888   0.70539    1.62E-5   1.57E-5   EgC                  1.03    0.1      1.85     0.13    0.09   12.07   1.8    1.01   51     -2.06    0.4     
  G008.8507-00.1170   271.45037   -21.35061   1.55E-5   1.55E-5   8.85068   -0.11705   1.53E-5   1.48E-5   EgC                  0.96    0.09     1.07     0.09    0.08   12.98   1.12   0.8    32     -0.8     0.3     
  G008.8577+00.9100   270.49526   -20.83981   2.42E-5   2.42E-5   8.85765   0.91004    2.37E-5   2.33E-5   EgC                  0.49    0.07     0.62     0.07    0.06   8.24    1.26   0.73   27     -1.06    0.67    
  G008.8632+00.2272   271.13485   -21.17114   1.63E-5   1.63E-5   8.86318   0.22721    1.6E-5    1.54E-5   EgC                  1.0     0.1      1.33     0.1     0.08   12.37   1.33   0.87   38     -0.75    0.46    
  G008.8724+00.9530   270.46309   -20.80579   2.11E-5   2.11E-5   8.87238   0.95299    2.1E-5    2.01E-5   EgC                  0.69    0.08     0.94     0.09    0.07   9.49    1.37   0.82   34     -1.14    0.53    
  G008.8785+00.2424   271.12867   -21.15037   2.06E-5   2.06E-5   8.87845   0.24242    2.02E-5   1.96E-5   EgC                  0.74    0.09     0.92     0.09    0.08   9.72    1.24   0.79   31     -0.3     0.36    
  G008.8867+00.4051   270.98112   -21.06334   1.76E-5   1.76E-5   8.88669   0.40507    1.73E-5   1.68E-5   EgC                  1.16    0.12     5.76     0.3     0.1    11.39   4.98   1.78   160    -0.36    0.25    
  G008.8915-00.0997   271.4555    -21.3065    7.75E-6   7.75E-6   8.8915    -0.09966   7.64E-6   7.38E-6   EgC                  2.28    0.15     2.55     0.15    0.08   27.5    1.12   0.96   46     -1.61    0.17    
  G008.8925+00.2462   271.13255   -21.13628   9.46E-6   9.46E-6   8.89251   0.24618    9.26E-6   8.86E-6   EgC                  1.82    0.13     2.07     0.13    0.08   21.98   1.14   0.9    41     -0.68    0.21    
  G008.9010-00.3259   271.67248   -21.40868   4.77E-6   4.77E-6   8.90096   -0.3259    4.7E-6    4.53E-6   EgC                  4.93    0.28     5.45     0.29    0.1    51.75   1.1    1.18   70     -0.98    0.08    
  G008.9044+00.3308   271.05976   -21.08437   2.01E-5   2.01E-5   8.90441   0.33081    1.96E-5   1.9E-5    EgC                  0.81    0.09     0.96     0.1     0.08   9.97    1.19   0.77   30     -0.94    0.35    
  G008.9278+00.1711   271.2213    -21.14231   1.38E-5   1.38E-5   8.92784   0.17108    1.34E-5   1.32E-5   EgC                  1.14    0.1      1.31     0.1     0.08   14.73   1.15   0.8    32     -1.27    0.33    
  G008.9311+00.9697   270.47859   -20.74647   2.34E-5   2.34E-5   8.93112   0.96971    2.32E-5   2.24E-5   EgC                  0.7     0.09     1.03     0.1     0.08   8.55    1.48   0.81   33     -1.07    0.43    
  G008.9388-00.6665   272.012     -21.54139   8.85E-6   8.85E-6   8.93878   -0.6665    8.68E-6   8.35E-6   EgC                  2.61    0.18     3.0      0.19    0.11   23.66   1.15   0.94   44     -0.7     0.14    
  G008.9540-00.1686   271.55287   -21.2856    2.61E-5   2.61E-5   8.95405   -0.16861   2.58E-5   2.45E-5   EgC                  0.61    0.09     0.69     0.09    0.08   7.64    1.12   0.68   23     -0.02    0.57    
  G008.9652-00.2363   271.62218   -21.3089    5.86E-6   5.86E-6   8.96523   -0.23634   5.71E-6   5.57E-6   EgC                  3.32    0.2      3.34     0.19    0.09   38.71   1.01   0.95   45     -0.57    0.16    
  G008.9739+00.7925   270.66601   -20.79672   1.39E-5   1.39E-5   8.97392   0.7925     1.38E-5   1.33E-5   EgC                  1.13    0.1      1.63     0.11    0.08   14.59   1.44   0.9    41     -1.21    0.42    
  G008.9747+00.3754   271.05513   -21.00124   1.49E-5   1.49E-5   8.97472   0.37539    1.46E-5   1.42E-5   EgC                  1.14    0.11     1.3      0.11    0.09   13.54   1.14   0.81   33     -0.1     0.3     
  G008.9843-00.3521   271.74059   -21.3487    2.21E-5   2.21E-5   8.98425   -0.35205   2.15E-5   2.11E-5   Radio-star           2.03    0.25     2.92     0.27    0.23   9.05    1.44   0.83   35     0.13     0.43    
  G008.9898+00.7027   270.75797   -20.82717   3.28E-6   3.28E-6   8.98978   0.70269    3.26E-6   3.09E-6   EgC                  10.66   0.58     13.27    0.67    0.09   119.2   1.25   1.28   82     0.1      0.04    
  G009.0002+00.1421   271.28637   -21.09346   2.66E-5   2.66E-5   9.00016   0.14208    2.63E-5   2.5E-5    EgC                  1.34    0.19     1.07     0.19    0.18   7.5     0.8    0.63   20     2.22     0.73    
  G009.0017+00.0778   271.34725   -21.1236    8.53E-6   8.53E-6   9.00168   0.07781    8.44E-6   8.09E-6   EgC                  2.09    0.14     2.41     0.15    0.09   24.67   1.15   0.94   44     -1.98    0.23    
  G009.0056-00.9836   272.34507   -21.63665   8.42E-6   8.42E-6   9.00559   -0.98356   8.16E-6   7.91E-6   EgC                  2.21    0.15     2.51     0.15    0.09   25.03   1.14   0.92   43     -0.76    0.12    
  G009.0088+00.4160   271.03518   -20.95167   2.99E-6   2.99E-6   9.00875   0.41597    2.97E-6   2.85E-6   PN                   46.89   2.55     75.0     3.76    0.23   207.9   1.6    1.7    145    0.14     0.07    
  G009.0101-00.6708   272.05322   -21.4811    8.35E-6   8.35E-6   9.0101    -0.67075   8.19E-6   7.87E-6   Radio-star           2.7     0.18     3.01     0.18    0.11   25.24   1.12   0.92   43     -0.7     0.23    
  G009.0190+00.0915   271.34358   -21.1018    1.37E-5   1.37E-5   9.01902   0.09147    1.34E-5   1.3E-5    EgC                  1.25    0.11     1.47     0.11    0.09   14.81   1.18   0.81   33     0.41     0.55    
  G009.0379-00.4332   271.8447    -21.34139   2.57E-5   2.57E-5   9.03785   -0.43319   2.52E-5   2.42E-5   EgC                  0.57    0.08     0.73     0.08    0.07   7.77    1.28   0.73   27     -0.99    0.57    
  G009.0434+00.2421   271.21566   -21.00675   2.81E-5   2.81E-5   9.04343   0.2421     2.79E-5   2.68E-5   EgC                  0.51    0.08     0.52     0.08    0.07   7.08    1.0    0.61   19     0.54     0.54    
  G009.0464+00.0501   271.39657   -21.09812   3.28E-6   3.28E-6   9.04641   0.05015    3.28E-6   3.13E-6   EgC                  10.8    0.6      13.31    0.67    0.09   119.6   1.23   1.37   94     -0.99    0.04    
  G009.0560+00.5411   270.94333   -20.84898   2.71E-5   2.71E-5   9.05604   0.54115    2.66E-5   2.56E-5   Radio-star           0.53    0.08     0.66     0.08    0.07   7.37    1.24   0.71   25     0.66     0.3     
  G009.0583-00.6173   272.0281    -21.41304   9.63E-6   9.63E-6   9.05826   -0.61727   9.39E-6   9.22E-6   EgC                  3.82    0.27     7.85     0.43    0.18   21.55   2.06   1.5    113    -0.5     0.02    
  G009.0588-00.0231   271.47152   -21.12316   1.56E-5   1.56E-5   9.05875   -0.02309   1.53E-5   1.49E-5   EgC                  1.14    0.11     1.67     0.12    0.09   12.95   1.47   0.9    41     -1.72    0.25    
  G009.0589-00.6174   272.02855   -21.41255   2.85E-6   2.85E-6   9.05889   -0.6174    2.85E-6   2.73E-6   EgC                  121.28  6.63     142.29   7.12    0.18   688.3   1.17   2.1    222    -0.6     0.03    
  G009.0633+00.5236   270.96353   -20.85134   1.21E-5   1.21E-5   9.06326   0.52355    1.2E-5    1.15E-5   PN                   1.53    0.12     3.28     0.19    0.09   16.87   2.14   1.14   65     -2.12    0.16    
  G009.0718+00.1012   271.36216   -21.05105   1.68E-5   1.68E-5   9.07176   0.10118    1.64E-5   1.6E-5    EgC                  1.02    0.1      1.32     0.11    0.09   11.95   1.3    0.81   33     0.04     0.23    
  G009.0966-00.3921   271.83684   -21.2701    2.27E-5   2.27E-5   9.09657   -0.3921    2.26E-5   2.15E-5   PN                   0.63    0.08     0.69     0.08    0.07   8.81    1.1    0.71   25     0.56     0.45    
  G009.1068+00.4162   271.08653   -20.86615   2.66E-5   2.66E-5   9.10681   0.41615    2.63E-5   2.53E-5   Radio-star           0.51    0.07     0.68     0.08    0.07   7.51    1.34   0.75   28     -0.17    0.26    
  G009.1071+00.0100   271.46595   -21.06482   8.19E-6   8.19E-6   9.10711   0.00996    8.11E-6   7.71E-6   EgC                  1.96    0.13     2.45     0.15    0.08   25.83   1.25   0.99   49     -0.95    0.22    
  G009.1126+00.7864   270.74471   -20.67907   4.38E-6   4.38E-6   9.11257   0.78644    4.33E-6   4.18E-6   Radio-star           5.5     0.31     7.74     0.4     0.09   59.39   1.41   1.22   75     -0.51    0.06    
  G009.1243+00.2020   271.2955    -20.95586   2.58E-5   2.58E-5   9.12431   0.20203    2.52E-5   2.46E-5   Radio-star           0.56    0.08     0.65     0.08    0.07   7.75    1.15   0.69   24     0.3      0.35    
  G009.1244-00.3239   271.78748   -21.21259   7.38E-6   7.38E-6   9.12441   -0.32392   7.25E-6   7.0E-6    EgC                  2.25    0.14     2.48     0.15    0.08   29.12   1.1    0.96   46     -0.41    0.11    
  G009.1322-00.9206   272.35167   -21.49542   1.55E-5   1.55E-5   9.13218   -0.92061   1.52E-5   1.45E-5   Radio-star           0.93    0.09     0.99     0.09    0.07   13.04   1.06   0.77   30     0.05     0.28    
  G009.1346+00.6287   270.90311   -20.7375    4.37E-6   4.37E-6   9.13463   0.6287     4.32E-6   4.19E-6   EgC                  6.33    0.36     10.91    0.56    0.11   59.61   1.72   1.74   152    -1.79    0.09    
  G009.1360-00.1507   271.63129   -21.11807   1.67E-5   1.67E-5   9.13596   -0.15067   1.63E-5   1.58E-5   EgC                  0.91    0.09     1.25     0.1     0.08   12.04   1.37   0.87   38     -0.5     0.13    
  G009.1554-00.9801   272.41968   -21.50387   1.08E-5   1.08E-5   9.15538   -0.98008   1.06E-5   1.03E-5   EgC                  1.78    0.13     1.83     0.13    0.09   19.1    1.02   0.88   39     -0.8     0.16    
  G009.1579+00.0161   271.48683   -21.01754   1.37E-5   1.37E-5   9.15788   0.01605    1.33E-5   1.29E-5   EgC                  1.11    0.1      1.45     0.11    0.08   14.78   1.31   0.9    41     -0.93    0.24    
  G009.1581+00.0168   271.48623   -21.01699   2.08E-5   2.08E-5   9.15809   0.01681    2.06E-5   2.0E-5    EgC                  0.73    0.09     1.13     0.09    0.08   9.65    1.54   0.87   38     -1.67    0.28    
  G009.1720+00.1358   271.38239   -20.94671   2.85E-5   2.85E-5   9.172     0.13575    2.8E-5    2.73E-5   EgC                  0.49    0.07     0.69     0.08    0.07   7.0     1.41   0.75   28     -0.71    0.54    
  G009.1732+00.4157   271.12182   -20.80856   1.08E-5   1.08E-5   9.17317   0.41567    1.07E-5   1.03E-5   EgC                  1.33    0.1      1.65     0.11    0.07   18.97   1.24   0.91   42     -0.75    0.14    
  G009.1742-00.5662   272.04062   -21.28686   2.43E-5   2.43E-5   9.17424   -0.56619   2.4E-5    2.3E-5    EgC                  1.12    0.15     1.35     0.15    0.14   8.21    1.21   0.73   27     -0.17    0.47    
  G009.1747-00.5666   272.04129   -21.28665   1.64E-5   1.64E-5   9.17472   -0.56664   1.62E-5   1.55E-5   EgC                  1.69    0.17     2.16     0.18    0.14   12.31   1.28   0.88   39     -1.16    0.21    
  G009.1939+00.5654   270.99322   -20.71701   8.99E-6   8.99E-6   9.1939    0.56538    8.74E-6   8.54E-6   EgC                  1.77    0.12     2.3      0.14    0.08   23.25   1.3    0.98   48     -0.07    0.14    
  G009.1970+00.0838   271.44403   -20.95034   2.57E-5   2.57E-5   9.19698   0.08376    2.53E-5   2.42E-5   EgC                  0.57    0.08     0.78     0.08    0.07   7.77    1.38   0.77   30     0.21     0.54    
  G009.2019+00.9101   270.67677   -20.54037   2.24E-5   2.24E-5   9.20193   0.91012    2.21E-5   2.13E-5   Radio-star           0.6     0.08     0.92     0.08    0.07   8.95    1.54   0.83   35     -0.57    0.47    
  G009.2138-00.6973   272.18424   -21.3159    6.26E-6   6.26E-6   9.21376   -0.69729   6.19E-6   5.97E-6   PN                   3.11    0.2      3.73     0.21    0.09   35.56   1.2    1.04   54     -0.16    0.13    
  G009.2194-00.8999   272.37749   -21.40906   9.98E-6   9.98E-6   9.2194    -0.89987   9.87E-6   9.54E-6   EgC                  1.72    0.12     1.93     0.13    0.08   20.73   1.12   0.91   42     -0.04    0.14    
  G009.2199-00.5096   272.01133   -21.2195    2.2E-5    2.2E-5    9.21986   -0.50962   2.2E-5    2.1E-5    EgC                  0.75    0.09     0.89     0.09    0.08   9.11    1.19   0.75   28     -0.12    0.47    
  G009.2242-00.5553   272.05642   -21.23788   1.11E-5   1.11E-5   9.2242    -0.55529   1.09E-5   1.05E-5   EgC                  1.63    0.13     1.66     0.12    0.09   18.49   1.01   0.82   34     1.98     0.21    
  G009.2308-00.6355   272.13511   -21.27105   2.19E-5   2.19E-5   9.23078   -0.6355    2.14E-5   2.07E-5   EgC                  0.81    0.1      1.15     0.11    0.09   9.12    1.42   0.82   34     -0.86    0.25    
  G009.2311-00.6379   272.13747   -21.27193   1.6E-5    1.6E-5    9.23108   -0.63785   1.58E-5   1.52E-5   EgC                  1.08    0.11     1.54     0.12    0.09   12.6    1.42   0.88   39     -1.57    0.26    
  G009.2324+00.6046   270.97691   -20.6642    1.26E-5   1.26E-5   9.2324    0.60462    1.23E-5   1.2E-5    EgC                  1.14    0.1      1.48     0.1     0.07   16.19   1.3    0.9    41     -0.91    0.35    
  G009.2375-00.4543   271.96871   -21.17722   2.76E-5   2.76E-5   9.23751   -0.45434   2.7E-5    2.65E-5   EgC                  0.56    0.08     0.98     0.09    0.08   7.23    1.74   0.85   36     -0.51    0.4     
  G009.2407+00.3069   271.25869   -20.80305   6.96E-6   6.96E-6   9.2407    0.30686    6.82E-6   6.56E-6   EgC                  2.43    0.16     3.38     0.19    0.08   31.23   1.39   1.06   57     -1.27    0.09    
  G009.2408-00.9199   272.40744   -21.4       6.45E-6   6.45E-6   9.24081   -0.91989   6.3E-6    6.1E-6    EgC                  3.27    0.21     3.9      0.22    0.1    34.22   1.19   1.02   52     -0.52    0.1     
  G009.2414+00.3076   271.25839   -20.80207   1.54E-5   1.54E-5   9.24141   0.30759    1.5E-5    1.48E-5   Radio-star           1.09    0.1      1.68     0.12    0.08   13.1    1.54   0.92   43     -0.99    0.27    
  G009.2507+00.3603   271.2141    -20.76815   5.89E-6   5.89E-6   9.2507    0.3603     5.81E-6   5.6E-6    EgC                  3.38    0.2      7.28     0.37    0.09   38.45   2.16   1.52   116    -1.15    0.11    
  G009.2554-00.1811   271.72219   -21.02865   1.16E-5   1.16E-5   9.25539   -0.18113   1.14E-5   1.11E-5   EgC                  1.23    0.1      1.44     0.1     0.07   17.71   1.17   0.89   40     -0.02    0.11    
  G009.2608+00.8413   270.77167   -20.52305   1.92E-5   1.92E-5   9.2608    0.84133    1.87E-5   1.84E-5   EgC                  0.72    0.08     1.01     0.09    0.07   10.43   1.4    0.85   36     -0.89    0.52    
  G009.2823+00.4726   271.126     -20.68555   1.14E-5   1.14E-5   9.28228   0.47261    1.12E-5   1.1E-5    EgC                  1.33    0.1      1.79     0.12    0.07   17.99   1.35   0.97   47     0.03     0.05    
  G009.2845-00.0618   271.6258    -20.94505   4.97E-6   4.97E-6   9.28449   -0.06179   4.93E-6   4.73E-6   Radio-star           4.09    0.24     5.38     0.28    0.09   48.55   1.32   1.16   68     -0.93    0.11    
  G009.2867+00.3087   271.28101   -20.76206   4.46E-6   4.46E-6   9.28666   0.30874    4.36E-6   4.25E-6   PN                   5.38    0.31     7.88     0.41    0.09   57.59   1.46   1.25   78     -0.87    0.06    
  G009.2888+00.1036   271.47356   -20.8605    1.35E-5   1.35E-5   9.28884   0.1036     1.34E-5   1.28E-5   Radio-star           1.19    0.1      1.47     0.11    0.08   15.04   1.23   0.86   37     -0.24    0.18    
  G009.2906-00.2993   271.85111   -21.05545   1.1E-5    1.1E-5    9.29057   -0.29927   1.08E-5   1.04E-5   EgC                  1.47    0.11     2.16     0.13    0.08   18.75   1.47   1.02   52     -1.61    0.25    
  G009.2991+00.5211   271.08967   -20.64713   1.54E-5   1.54E-5   9.29909   0.52108    1.52E-5   1.47E-5   EgC                  0.94    0.09     1.24     0.1     0.07   13.11   1.32   0.87   38     -0.13    0.27    
  G009.3040-00.3262   271.88326   -21.05684   2.37E-5   2.37E-5   9.30395   -0.32617   2.32E-5   2.26E-5   Radio-star           0.7     0.09     0.9      0.09    0.08   8.44    1.3    0.77   30     -0.63    0.3     
  G009.3093+00.6721   270.95448   -20.56409   1.09E-5   1.09E-5   9.30928   0.67209    1.07E-5   1.04E-5   EgC                  1.79    0.14     3.05     0.18    0.1    18.79   1.71   1.11   62     -1.46    0.15    
  G009.3122+00.7874   270.84882   -20.50482   2.91E-6   2.91E-6   9.31223   0.7874     2.87E-6   2.76E-6   Radio-star           26.85   1.47     37.24    1.86    0.09   301.2   1.39   1.74   153    -0.67    0.02    
  G009.3238-00.6657   272.21177   -21.20433   6.4E-6    6.4E-6    9.32379   -0.66565   6.29E-6   6.07E-6   EgC                  2.77    0.17     3.01     0.17    0.08   34.57   1.08   0.99   49     -0.35    0.1     
  G009.3292-00.9153   272.44894   -21.32042   7.03E-6   7.03E-6   9.32917   -0.91525   6.84E-6   6.57E-6   EgC                  3.36    0.21     4.74     0.26    0.11   30.85   1.41   1.22   75     -1.19    0.07    
  G009.3364+00.0428   271.55521   -20.84873   9.83E-6   9.83E-6   9.33639   0.04277    9.87E-6   9.25E-6   EgC                  1.73    0.13     2.43     0.15    0.08   21.07   1.4    1.01   51     -0.78    0.25    
  G009.3413-00.5705   272.13158   -21.14287   4.74E-6   4.74E-6   9.34128   -0.57045   4.65E-6   4.5E-6    PN                   3.94    0.23     4.15     0.22    0.08   52.17   1.05   1.02   52     0.81     0.08    
  G009.3452-00.1002   271.69342   -20.91082   2.68E-5   2.68E-5   9.34518   -0.10024   2.67E-5   2.52E-5   Radio-star           0.55    0.08     0.62     0.08    0.07   7.43    1.12   0.68   23     -0.2     0.36    
  G009.3488+00.2304   271.38658   -20.74623   2.57E-5   2.57E-5   9.34877   0.2304     2.52E-5   2.46E-5   EgC                  0.62    0.08     1.42     0.1     0.08   7.77    2.3    0.98   48     -1.29    0.59    
  G009.3530-00.3921   271.97057   -21.04602   1.54E-5   1.54E-5   9.35302   -0.39211   1.52E-5   1.47E-5   EgC                  0.96    0.09     1.15     0.1     0.08   13.1    1.2    0.81   33     -0.92    0.4     
  G009.3558+00.1156   271.49734   -20.79625   1.55E-5   1.55E-5   9.35576   0.1156     1.52E-5   1.49E-5   EgC                  1.04    0.1      1.21     0.1     0.08   12.99   1.16   0.8    32     0.57     0.16    
  G009.3588+00.6921   270.96185   -20.51115   1.47E-5   1.47E-5   9.35878   0.6921     1.47E-5   1.39E-5   PN                   1.02    0.09     1.53     0.11    0.08   13.8    1.5    0.92   43     -0.93    0.21    
  G009.3702-00.6646   272.23483   -21.16324   5.56E-6   5.56E-6   9.37016   -0.66455   5.5E-6    5.3E-6    Radio-star           3.25    0.2      3.85     0.21    0.08   41.41   1.18   1.06   56     -0.82    0.14    
  G009.3771+00.9480   270.73375   -20.3693    1.4E-5    1.4E-5    9.37712   0.94797    1.38E-5   1.33E-5   Radio-star           1.03    0.09     1.44     0.1     0.07   14.51   1.39   0.92   43     -0.52    0.2     
  G009.3985+00.1493   271.48824   -20.74249   2.95E-6   2.95E-6   9.39851   0.14929    2.93E-6   2.77E-6   PN                   24.89   1.38     34.65    1.74    0.11   237.7   1.39   1.49   111    0.53     0.03    
  G009.4021-00.3765   271.98152   -20.99559   2.39E-5   2.39E-5   9.40207   -0.37654   2.35E-5   2.26E-5   EgC                  0.61    0.08     0.86     0.09    0.07   8.36    1.41   0.81   33     -0.97    0.38    
  G009.4069+00.5209   271.14627   -20.55329   2.81E-5   2.81E-5   9.40686   0.52095    2.77E-5   2.66E-5   EgC                  0.47    0.07     0.61     0.07    0.07   7.11    1.3    0.71   25     0.16     0.84    
  G009.4075+00.1106   271.52903   -20.75355   6.8E-6    6.8E-6    9.4075    0.1106     6.7E-6    6.49E-6   Radio-star           2.4     0.15     2.98     0.17    0.08   32.08   1.24   1.02   52     -0.76    0.15    
  G009.4100-00.4739   272.07677   -21.03596   8.67E-6   8.67E-6   9.40996   -0.47386   8.52E-6   8.36E-6   Radio-star           1.95    0.14     2.3      0.14    0.08   24.2    1.18   0.9    41     -0.81    0.16    
  G009.4241-00.1310   271.76334   -20.85692   2.28E-5   2.28E-5   9.42408   -0.13103   2.23E-5   2.17E-5   Radio-star           0.72    0.09     1.07     0.1     0.08   8.75    1.49   0.83   35     -0.74    0.35    
  G009.4441+00.8138   270.89344   -20.37704   2.14E-5   2.14E-5   9.44407   0.81384    2.12E-5   2.02E-5   Radio-star           0.63    0.08     0.83     0.08    0.07   9.34    1.32   0.79   31     -1.16    0.58    
  G009.4659+00.3636   271.32364   -20.5789    1.63E-5   1.63E-5   9.46589   0.36363    1.61E-5   1.53E-5   EgC                  0.84    0.08     1.12     0.09    0.07   12.39   1.32   0.87   38     -0.17    0.38    
  G009.4748-00.5623   272.19329   -21.02215   3.72E-6   3.72E-6   9.4748    -0.56227   3.63E-6   3.55E-6   EgC                  7.32    0.4      7.75     0.4     0.09   82.44   1.06   1.15   66     -0.73    0.05    
  G009.4786-00.2880   271.93845   -20.88567   1.31E-5   1.31E-5   9.47859   -0.28796   1.29E-5   1.26E-5   EgC                  1.2     0.1      1.49     0.11    0.08   15.52   1.24   0.89   40     -0.89    0.17    
  G009.4805-00.2580   271.91143   -20.86944   1.39E-5   1.39E-5   9.48049   -0.258     1.35E-5   1.32E-5   EgC                  1.14    0.1      1.5      0.11    0.08   14.53   1.31   0.9    41     -0.6     0.42    
  G009.4811+00.0422   271.63127   -20.72272   3.28E-6   3.28E-6   9.48107   0.0422     3.23E-6   3.11E-6   Radio-star           11.58   0.63     13.23    0.67    0.1    119.5   1.14   1.37   95     -0.87    0.05    
  G009.4851+00.5059   271.2012    -20.49249   1.79E-5   1.79E-5   9.48507   0.50591    1.77E-5   1.71E-5   EgC                  0.85    0.09     1.21     0.1     0.08   11.21   1.42   0.88   39     -0.72    0.28    
  G009.5055+00.2404   271.4592    -20.60465   1.65E-5   1.65E-5   9.5055    0.24035    1.6E-5    1.56E-5   EgC                  0.91    0.09     1.16     0.09    0.07   12.24   1.28   0.86   37     -0.61    0.29    
  G009.5147+00.9477   270.80622   -20.24967   2.63E-5   2.63E-5   9.51472   0.94772    2.58E-5   2.53E-5   EgC                  0.47    0.07     0.61     0.07    0.06   7.58    1.29   0.75   28     0.46     0.23    
  G009.5193+00.2738   271.43528   -20.57627   5.26E-6   5.26E-6   9.51931   0.27376    5.16E-6   4.98E-6   EgC                  3.42    0.2      3.82     0.21    0.08   44.77   1.12   1.03   53     0.16     0.09    
  G009.5292-00.8892   272.52815   -21.13275   2.26E-5   2.26E-5   9.52919   -0.88924   2.2E-5    2.12E-5   EgC                  0.64    0.08     0.77     0.08    0.07   8.87    1.2    0.75   28     0.84     0.26    
  G009.5330+00.8762   270.88215   -20.26893   1.75E-5   1.75E-5   9.533     0.87623    1.73E-5   1.67E-5   EgC                  0.8     0.08     1.02     0.09    0.07   11.51   1.28   0.85   36     -0.15    0.21    
  G009.5360+00.7990   270.95543   -20.30428   1.39E-5   1.39E-5   9.53601   0.79899    1.36E-5   1.33E-5   Radio-star           1.09    0.1      1.53     0.11    0.08   14.59   1.4    0.91   42     -0.74    0.28    
  G009.5417+00.8440   270.91663   -20.2772    1.33E-5   1.33E-5   9.5417    0.844      1.33E-5   1.25E-5   EgC                  1.08    0.09     1.39     0.1     0.07   15.25   1.29   0.89   40     -1.48    0.28    
  G009.5524+00.6867   271.06837   -20.34517   3.78E-6   3.78E-6   9.55241   0.68665    3.77E-6   3.61E-6   EgC                  18.0    1.02     34.57    1.74    0.23   79.01   1.92   1.58   125    -1.01    0.04    
  G009.5540+00.6859   271.06994   -20.34414   1.16E-5   1.16E-5   9.55403   0.68588    1.14E-5   1.11E-5   EgC                  4.06    0.32     12.96    0.69    0.23   17.59   3.19   1.53   117    -1.93    0.14    
  G009.5581+00.6095   271.14312   -20.37806   2.58E-5   2.58E-5   9.55813   0.60946    2.52E-5   2.43E-5   EgC                  0.56    0.08     0.79     0.08    0.07   7.73    1.41   0.77   30     -0.54    0.98    
  G009.5669-00.0346   271.7477    -20.68526   1.62E-5   1.62E-5   9.56687   -0.03463   1.59E-5   1.54E-5   EgC                  0.96    0.1      1.18     0.1     0.08   12.42   1.23   0.82   34     -1.56    0.27    
  G009.5697-00.1198   271.82864   -20.72427   1.17E-5   1.17E-5   9.56967   -0.11975   1.16E-5   1.11E-5   PN                   1.35    0.11     1.44     0.11    0.08   17.41   1.07   0.81   33     0.22     0.19    
  G009.5726+00.8972   270.88349   -20.22414   2.01E-5   2.01E-5   9.57262   0.89716    1.96E-5   1.91E-5   PN                   0.8     0.09     1.57     0.11    0.08   9.97    1.96   0.98   48     -2.33    0.42    
  G009.5742+00.2588   271.47793   -20.53569   2.56E-5   2.56E-5   9.57423   0.25875    2.5E-5    2.43E-5   EgC                  0.68    0.09     0.83     0.1     0.09   7.8     1.22   0.71   25     0.53     0.35    
  G009.5746+00.1711   271.55983   -20.57824   3.76E-6   3.76E-6   9.57456   0.17106    3.68E-6   3.57E-6   PN                   6.64    0.37     7.84     0.4     0.08   80.14   1.18   1.14   65     -0.08    0.05    
  G009.5822-00.5480   272.23564   -20.92124   1.5E-5    1.5E-5    9.58223   -0.54796   1.48E-5   1.44E-5   EgC                  1.1     0.1      1.34     0.11    0.08   13.44   1.22   0.83   35     -1.11    0.38    
  G009.5916-00.1477   271.86613   -20.71865   2.35E-5   2.35E-5   9.59164   -0.14765   2.35E-5   2.29E-5   EgC                  0.68    0.09     0.89     0.09    0.08   8.5     1.31   0.76   29     -1.7     0.68    
  G009.5994-00.4130   272.1182    -20.84083   2.76E-5   2.76E-5   9.59936   -0.41301   2.72E-5   2.62E-5   EgC                  0.55    0.08     0.69     0.09    0.08   7.22    1.26   0.69   24     -0.18    0.44    
  G009.6092+00.7730   271.01792   -20.25333   1.82E-5   1.82E-5   9.6092    0.77297    1.79E-5   1.76E-5   EgC                  0.77    0.08     1.04     0.09    0.07   11.02   1.35   0.85   36     -0.55    0.25    
  G009.6190+00.1934   271.56221   -20.52858   2.98E-6   2.98E-6   9.61899   0.19336    2.91E-6   2.82E-6   HII                  38.8    2.15     57.03    2.86    0.18   216.1   1.47   1.58   125    0.5      0.03    
  G009.6213+00.1958   271.56111   -20.52539   1.94E-5   1.94E-5   9.62126   0.19581    1.9E-5    1.84E-5   HII                  2.0     0.22     2.47     0.23    0.19   10.32   1.23   0.79   31     1.27     0.28    
  G009.6217-00.7181   272.41548   -20.96908   2.14E-5   2.14E-5   9.62167   -0.71808   2.1E-5    2.01E-5   Radio-star           0.68    0.08     0.9      0.09    0.08   9.33    1.32   0.81   33     -0.84    0.45    
