# gname               ra          dec         era       edec      l         b          el        eb        Class                Speak   eSpeak   Sint     eSint   RMS    SNR     Yf     Reff   Npix   Alpha    eAlpha  
  G002.4290+00.7101   267.14131   -26.4909    1.18E-5   1.18E-5   2.42903   0.71015    1.14E-5   1.08E-5   EgC                  1.64    0.13     1.52     0.12    0.1    17.24   0.92   0.79   31     -0.76    0.2     
  G002.4388-00.0922   267.91774   -26.89419   1.87E-5   1.87E-5   2.43879   -0.09219   1.82E-5   1.72E-5   EgC                  1.13    0.12     0.89     0.11    0.11   10.76   0.79   0.65   21     -0.99    0.66    
  G002.4507-00.2102   268.03836   -26.94416   1.29E-5   1.29E-5   2.45066   -0.21018   1.24E-5   1.19E-5   EgC                  1.75    0.15     1.66     0.14    0.12   15.83   0.95   0.85   36     -0.33    0.18    
  G002.4581+00.7170   267.1515    -26.46248   4.57E-6   4.57E-6   2.45808   0.71699    4.4E-6    4.24E-6   EgC                  8.65    0.52     9.87     0.52    0.16   55.33   1.14   1.14   65     -1.42    0.09    
  G002.4749-00.5844   268.4139    -27.11356   5.14E-6   5.14E-6   2.47485   -0.58437   4.98E-6   4.71E-6   PN                   5.95    0.34     5.12     0.29    0.13   46.26   0.86   0.94   44     0.16     0.09    
  G002.4931+00.2099   267.65804   -26.69301   2.03E-5   2.03E-5   2.49314   0.20991    2.0E-5    1.89E-5   EgC                  0.95    0.11     0.76     0.1     0.1    9.87    0.8    0.63   20     -0.24    0.37    
  G002.5028+00.5479   267.33917   -26.51128   2.15E-5   2.15E-5   2.50275   0.54787    2.1E-5    1.99E-5   Radio-star           0.94    0.12     1.14     0.12    0.1    9.31    1.2    0.77   30     -0.88    0.52    
  G002.5088+00.3442   267.53799   -26.61074   2.23E-5   2.23E-5   2.50877   0.3442     2.12E-5   2.04E-5   EgC                  0.86    0.11     0.72     0.1     0.1    8.98    0.84   0.65   21     0.01     0.23    
  G002.5160+00.7352   267.16745   -26.40346   2.17E-5   2.17E-5   2.51602   0.73518    2.11E-5   2.0E-5    Radio-star           0.93    0.11     0.89     0.11    0.1    9.24    0.96   0.69   24     -0.01    0.45    
  G002.5251+00.1874   267.69797   -26.67712   1.76E-5   1.76E-5   2.52506   0.18739    1.73E-5   1.63E-5   Radio-star           1.15    0.12     0.87     0.11    0.1    11.39   0.76   0.65   21     -0.46    0.29    
  G002.5274+00.4952   267.40379   -26.51727   1.35E-5   1.35E-5   2.52735   0.4952     1.31E-5   1.25E-5   Radio-star           1.82    0.16     3.54     0.21    0.12   14.99   1.94   1.09   60     -0.92    0.32    
  G002.5354-00.4410   268.30971   -26.98864   1.82E-5   1.82E-5   2.53541   -0.44102   1.78E-5   1.68E-5   Radio-star           1.13    0.12     0.91     0.11    0.1    11.04   0.8    0.65   21     -0.44    0.44    
  G002.5383+00.7610   267.15555   -26.3711    1.62E-5   1.62E-5   2.53825   0.76099    1.59E-5   1.49E-5   EgC                  1.19    0.12     1.1      0.11    0.1    12.42   0.92   0.73   27     0.33     0.26    
  G002.5403+00.7888   267.13015   -26.35507   1.06E-5   1.06E-5   2.54025   0.78876    1.04E-5   9.81E-6   EgC                  2.43    0.18     3.43     0.21    0.13   19.35   1.41   1.03   53     -1.21    0.26    
  G002.5414+00.7901   267.12955   -26.35342   1.88E-5   1.88E-5   2.54139   0.79007    1.83E-5   1.75E-5   EgC                  1.29    0.14     1.81     0.15    0.12   10.68   1.41   0.83   35     -1.94    0.3     
  G002.5414+00.9732   266.95458   -26.25884   2.85E-5   2.85E-5   2.5414    0.97324    2.77E-5   2.62E-5   EgC                  0.77    0.12     0.63     0.12    0.11   7.0     0.82   0.55   15     -0.36    0.32    
  G002.5474+00.7788   267.14372   -26.3541    7.58E-6   7.58E-6   2.54736   0.77884    7.38E-6   7.01E-6   EgC                  2.85    0.19     3.12     0.19    0.11   28.2    1.09   0.98   48     -0.93    0.19    
  G002.5477-00.9044   268.76565   -27.21261   7.31E-6   7.31E-6   2.54774   -0.90443   7.1E-6    6.62E-6   EgC                  3.25    0.21     2.88     0.18    0.11   29.46   0.89   0.87   38     -0.58    0.2     
  G002.5546+00.0930   267.80564   -26.70002   6.88E-6   6.88E-6   2.5546    0.09303    6.65E-6   6.36E-6   Radio-star           4.66    0.29     6.24     0.34    0.15   31.63   1.34   1.1    61     -1.34    0.08    
  G002.5699+00.8888   267.05163   -26.27811   4.66E-6   4.66E-6   2.56986   0.88876    4.56E-6   4.25E-6   Radio-star           6.45    0.37     6.47     0.35    0.12   53.68   1.0    1.08   59     -0.49    0.09    
  G002.5883-00.1980   268.10524   -26.81955   1.94E-5   1.94E-5   2.58829   -0.19804   1.89E-5   1.76E-5   Radio-star           1.05    0.12     1.04     0.11    0.1    10.34   0.99   0.72   26     0.31     0.31    
  G002.5927-00.6307   268.52579   -27.03544   3.25E-6   3.25E-6   2.59269   -0.63068   3.13E-6   3.0E-6    PN                   22.23   1.21     27.12    1.37    0.18   124.4   1.22   1.23   76     0.16     0.05    
  G002.6036-00.4269   268.33492   -26.92272   1.64E-5   1.64E-5   2.60361   -0.42692   1.6E-5    1.51E-5   Radio-star           1.27    0.12     0.97     0.11    0.1    12.27   0.76   0.65   21     -0.68    0.4     
  G002.6057+00.2519   267.68216   -26.57477   1.75E-5   1.75E-5   2.60574   0.25194    1.7E-5    1.61E-5   Radio-star           1.19    0.12     1.06     0.12    0.1    11.5    0.89   0.69   24     -0.24    0.51    
  G002.6142-01.0647   268.95902   -27.23598   1.04E-5   1.04E-5   2.61423   -1.06472   1.02E-5   9.43E-6   PN                   14.76   1.09     7.21     0.82    0.74   19.89   0.49   0.68   23     -999.0   -999.0  
  G002.6151+00.1337   267.80109   -26.62724   7.91E-6   7.91E-6   2.61507   0.13373    7.71E-6   7.25E-6   HII                  12.1    0.81     30.21    1.58    0.46   26.84   2.5    1.47   109    -0.67    0.1     
  G002.6391+00.8351   267.14276   -26.24652   1.75E-5   1.75E-5   2.6391    0.83506    1.72E-5   1.63E-5   EgC                  1.07    0.11     1.07     0.11    0.1    11.46   1.01   0.73   27     -0.13    0.12    
  G002.6401-00.1913   268.12829   -26.7715    6.13E-6   6.13E-6   2.64011   -0.19128   6.05E-6   5.67E-6   PN                   4.23    0.26     3.51     0.21    0.12   36.45   0.83   0.87   38     1.1      0.05    
  G002.6420-00.1119   268.05288   -26.72942   6.09E-6   6.09E-6   2.64203   -0.1119    5.92E-6   5.59E-6   EgC                  4.34    0.27     4.34     0.25    0.12   36.79   1.0    0.94   44     -1.27    0.13    
  G002.6421-00.0030   267.94803   -26.67382   8.74E-6   8.74E-6   2.64209   -0.00297   8.54E-6   7.97E-6   Radio-star           2.36    0.16     2.09     0.14    0.1    23.99   0.89   0.83   35     -0.27    0.23    
  G002.6496-00.3470   268.28392   -26.84247   1.14E-5   1.14E-5   2.64964   -0.34697   1.11E-5   1.05E-5   Radio-star           1.91    0.15     1.6      0.13    0.11   17.95   0.83   0.76   29     -0.18    0.24    
  G002.6517+00.3377   267.62612   -26.49136   1.8E-5    1.8E-5    2.6517    0.33773    1.74E-5   1.65E-5   EgC                  1.1     0.12     1.02     0.11    0.1    11.14   0.92   0.69   24     -0.44    0.34    
  G002.6605+01.0286   266.97029   -26.12831   2.62E-5   2.62E-5   2.66046   1.02863    2.52E-5   2.41E-5   EgC                  1.57    0.22     0.7      0.21    0.21   7.61    0.44   0.47   11     1.81     0.63    
  G002.6640+00.8048   267.186     -26.24083   4.88E-6   4.88E-6   2.66397   0.80475    4.75E-6   4.54E-6   EgC                  6.95    0.4      7.6      0.4     0.14   49.84   1.09   1.14   65     -1.06    0.11    
  G002.6723-00.0402   268.0011    -26.66684   2.76E-5   2.76E-5   2.67229   -0.0402    2.7E-5    2.54E-5   EgC                  0.74    0.11     0.76     0.11    0.1    7.23    1.03   0.65   21     0.39     0.38    
  G002.6737-00.9369   268.86853   -27.12025   2.75E-5   2.75E-5   2.67367   -0.93689   2.68E-5   2.53E-5   EgC                  0.72    0.11     0.51     0.1     0.1    7.25    0.71   0.53   14     0.21     0.37    
  G002.6783-00.3041   268.25885   -26.79601   1.61E-5   1.61E-5   2.67829   -0.3041    1.57E-5   1.49E-5   EgC                  1.24    0.12     1.03     0.11    0.1    12.5    0.83   0.69   24     -0.89    0.32    
  G002.6867+00.6736   267.32445   -26.28893   1.95E-5   1.95E-5   2.68667   0.67355    1.92E-5   1.82E-5   EgC                  0.94    0.11     0.9      0.1     0.09   10.3    0.95   0.71   25     0.35     0.21    
  G002.7083+00.9397   267.08258   -26.13328   2.74E-5   2.74E-5   2.70827   0.93973    2.7E-5    2.54E-5   EgC                  0.73    0.11     0.76     0.11    0.1    7.27    1.05   0.66   22     0.13     0.45    
  G002.7114+00.9212   267.10203   -26.14019   6.28E-6   6.28E-6   2.71135   0.92121    6.12E-6   5.8E-6    EgC                  3.98    0.24     4.13     0.24    0.11   35.41   1.04   1.01   51     -0.73    0.22    
  G002.7204+00.2658   267.73446   -26.46914   1.35E-5   1.35E-5   2.72044   0.26581    1.32E-5   1.25E-5   EgC                  1.51    0.13     1.23     0.12    0.1    14.99   0.82   0.71   25     -0.05    0.26    
  G002.7554-00.3268   268.3246    -26.74109   2.23E-5   2.23E-5   2.75542   -0.32677   2.16E-5   2.05E-5   EgC                  0.88    0.11     0.76     0.11    0.1    8.97    0.87   0.63   20     0.48     0.57    
  G002.7589+00.9504   267.10147   -26.08442   1.1E-5    1.1E-5    2.75888   0.95041    1.08E-5   1.03E-5   EgC                  2.0     0.15     1.55     0.13    0.11   18.64   0.77   0.73   27     -0.4     0.36    
  G002.7594+00.4595   267.57096   -26.33646   2.45E-5   2.45E-5   2.75937   0.45955    2.36E-5   2.3E-5    EgC                  0.79    0.11     0.58     0.1     0.1    8.14    0.74   0.58   17     0.23     0.73    
  G002.7689-00.7902   268.78025   -26.9641    2.26E-5   2.26E-5   2.76886   -0.79025   2.2E-5    2.11E-5   EgC                  0.91    0.11     0.72     0.11    0.1    8.83    0.79   0.61   19     0.39     0.48    
  G002.7754-00.6551   268.65319   -26.89021   7.83E-6   7.83E-6   2.77542   -0.65515   7.56E-6   7.26E-6   EgC                  3.12    0.2      2.75     0.18    0.12   27.17   0.88   0.86   37     -0.37    0.17    
  G002.8059+00.5487   267.5122    -26.25084   1.56E-5   1.56E-5   2.80585   0.54869    1.51E-5   1.46E-5   EgC                  1.27    0.12     1.34     0.12    0.1    12.91   1.06   0.77   30     -0.47    0.39    
  G002.8151-00.1300   268.1689    -26.5897    2.45E-5   2.45E-5   2.81508   -0.13      2.39E-5   2.26E-5   Radio-star           0.81    0.11     0.59     0.11    0.1    8.17    0.73   0.55   15     -0.67    0.37    
  G002.8163+00.9109   267.17216   -26.05561   1.6E-5    1.6E-5    2.81631   0.91086    1.57E-5   1.47E-5   EgC                  1.32    0.13     1.02     0.12    0.11   12.58   0.78   0.66   22     -0.64    0.35    
  G002.8225-00.1554   268.19757   -26.5962    1.12E-5   1.12E-5   2.82253   -0.15537   1.1E-5    1.04E-5   PN                   2.45    0.19     4.38     0.26    0.13   18.29   1.78   1.06   56     -0.94    0.34    
  G002.8387-00.7082   268.74034   -26.8624    1.9E-5    1.9E-5    2.8387    -0.70819   1.87E-5   1.74E-5   Radio-star           1.16    0.13     1.66     0.14    0.11   10.59   1.44   0.85   36     -0.25    0.29    
  G002.8461-00.5261   268.56854   -26.76398   2.47E-5   2.47E-5   2.84611   -0.52614   2.41E-5   2.24E-5   EgC                  0.86    0.12     0.64     0.11    0.11   8.09    0.74   0.56   16     0.21     0.27    
  G002.8612-00.6799   268.72573   -26.82875   1.73E-5   1.73E-5   2.86116   -0.67995   1.69E-5   1.6E-5    Radio-star           1.18    0.12     1.11     0.12    0.1    11.6    0.94   0.72   26     -0.01    0.25    
  G002.8623-00.4964   268.54899   -26.73498   1.31E-5   1.31E-5   2.86229   -0.49641   1.26E-5   1.21E-5   EgC                  1.7     0.14     1.44     0.13    0.11   15.46   0.84   0.73   27     -0.12    0.4     
  G002.8665+01.0086   267.10775   -25.96221   2.0E-5    2.0E-5    2.86649   1.00862    1.92E-5   1.84E-5   EgC                  1.54    0.18     1.28     0.17    0.15   10.04   0.83   0.65   21     0.13     0.47    
  G002.8760-00.7600   268.81161   -26.85632   2.61E-5   2.61E-5   2.87603   -0.76001   2.56E-5   2.42E-5   EgC                  0.7     0.1      0.6      0.1     0.1    7.64    0.85   0.58   17     0.12     0.46    
  G002.8763-00.9436   268.98964   -26.94857   1.18E-5   1.18E-5   2.87634   -0.94363   1.14E-5   1.08E-5   EgC                  1.91    0.15     1.48     0.13    0.11   17.29   0.77   0.72   26     -0.86    0.31    
